Hair,Birth,Handspan,Siblings,Shoes,Height
Blonde,July,19.9,2,10,180
Black,May,10,1,5,170
Black,October,18.5,0,12,160
Brown,December,17.5,0,5,165
Black,March,19,1,8,186
Black,March,20.8,1,25,162
Black,June,18,0,8,175
Black,October,10,0,20,169
Black,April,20.1,0,7,181
Brown,October,19.8,0,30,168
Black,October,19.1,0,5,160
Black,September,12.5,3,15,173
Black,June,17,0,2,173
Black,April,6,0,12,180
Red,October,19.5,0,10,165
Black,October,20,2,5,180
Black,November,12.3,1,20,180
Black,October,18.5,0,8,160
Black,November,18,1,5,167
Black,April,12.2,0,7,168
Black,March,19.9,1,10,165
Brown,June,21,0,15,174
Black,September,8,0,20,166
Black,August,20,1,5,170
Black,September,13,1,4,170
Brown,April,182,1,4,180
Black,February,10.5,0,8,160
Black,March,17.8,2,9,158
Black,August,12.9,0,10,166
Black,November,17.5,4,2,158
Brown,April,19.5,1,5,175
Black,July,15,0,2,176
Black,May,22.9,1,7,178
Black,June,18.5,1,10,191
Brown,September,20.8,3,5,172
Black,January,10,1,5,182
Brown,February,15,1,40,189
Black,January,12.6,0,9,163
Black,June,16.6,2,3,175
Black,April,20.2,2,4,176
Black,April,23,1,12,180
Black,September,12.9,1,10,172
Brown,May,14.5,2,8,181
Brown,August,21,2,8,181
Black,November,20,1,14,171
Black,May,20,1,8,168
Brown,December,18,5,4,159
Black,May,21.5,1,7,178
Brown,August,24,1,7,196
Black,November,13,4,5,147
Brown,October,22.1,4,15,183
Brown,March,20,1,4,193
Black,August,18.4,4,5,177
Black,May,20.5,0,30,170
Black,March,21,2,2,175
Brown,September,19.2,3,11,183
Black,October,19.8,2,8,183
Black,January,175,2,6,175
Brown,August,18.4,1,4,188
Black,October,20.5,2,10,165
Brown,October,19.8,1,4,183
Black,September,20.3,1,10,173
Black,July,17,1,3,175
Black,July,50,0,5,165
Black,September,12.5,1,11,186
Black,November,19.2,4,6,179
Blonde,December,195,2,10,195
Black,October,17.4,0,7,179
Black,January,16,3,4,150
Brown,December,22.1,2,4,185
Black,October,18,1,5,157
Black,January,21,1,7,174
Black,July,20,2,3,176
Black,November,19.9,1,6,172
Black,August,14.7,1,8,168
Black,March,21.2,0,4,165
Black,January,23.8,2,6,185
Brown,October,11,1,5,158
Brown,January,15,0,7,168
Black,November,20,0,6,175
Black,December,20,1,5,178
Black,December,10.3,1,6,172
Black,June,15,0,15,166
Black,October,22,0,7,173
Blonde,December,11.5,2,8,165
Black,December,16.7,0,8,178
Blonde,July,21.6,3,5,172
Black,November,13.5,0,12,180
Brown,December,18,3,5,175
Black,July,15.4,0,5,165
Black,August,15.4,0,6,170
Blonde,July,18,2,15,171
Black,July,21.4,1,20,180
Blonde,September,20,3,5,173
Blonde,April,20,3,5,173
Blonde,December,12,0,5,163
Brown,July,19.8,2,4,180
Black,May,15,0,3,165
Black,August,18,0,2,180
Black,December,17.9,1,6,156
Black,August,15,1,5,159
Black,July,16.1,0,7,176
Black,May,15,1,6,175
Brown,August,19.8,1,6,176
Black,June,25.1,1,6,169
Black,April,20,6,3,172
Black,June,20,3,30,181
Brown,May,19,3,8,181
Black,July,20,1,5,178
Black,February,15.2,0,7,167
Black,September,16.4,1,10,180
Brown,September,21.6,1,8,165
Black,April,22.5,1,8,183
Black,March,21,1,10,171
Brown,February,17.5,1,20,188
Black,October,21,0,15,170
Black,February,20,0,3,180
Blonde,July,21,0,20,172
Black,October,21,0,7,167
Brown,March,20,2,6,200
Black,December,19.4,2,7,158
Black,July,20.9,2,3,170
Brown,January,18,1,4,178
Black,March,22,3,3,170
Brown,June,15,1,5,188
Black,June,21,2,3,170
Blonde,April,17,1,9,171
Black,June,17,5,5,172
Brown,November,21,1,4,189
Black,December,19.6,1,4,174
Black,September,23,2,3,181
Black,November,9.9,0,10,177
Black,January,14.2,1,15,165
Black,October,21.4,7,18,154
Black,November,20.3,1,10,184
Black,April,8.5,0,10,175
Brown,December,13.4,1,8,168
Black,July,18,1,7,177
Black,July,15,1,4,178
Black,July,13.9,0,3,167
Black,March,11,0,12,181
Black,March,16,0,3,164
Black,January,16.5,0,6,174
Black,February,21.2,0,4,183
Black,September,4.5,1,6,175
Black,April,17.4,0,9,164
Black,March,8.7,3,5,170
Black,July,11.1,1,7,170
Black,September,22.5,1,12,182
Brown,December,20,0,10,164
Black,November,17.8,0,8,165
Black,November,19.1,0,10,164
Black,December,20.1,2,3,175
Black,March,16.1,0,2,175
Black,April,18.8,0,15,165
Brown,May,17.7,1,8,162
Black,January,18,0,4,179
Black,December,20.2,1,10,180
Black,September,13.2,1,6,165
Black,August,10,0,15,161
Brown,May,24,1,8,168
Black,September,15.2,0,10,180
Black,February,20,1,10,166
Black,December,12.3,0,10,168
Blonde,January,15,1,6,165
Black,July,18.3,1,4,158
Black,September,11.6,0,10,180
Black,September,16.8,2,17,162
Brown,March,20.1,2,6,172
Grey,January,12.5,0,30,185
Black,September,10.8,1,3,175
Blonde,August,12.3,0,5,165
Brown,February,19.2,2,3,164
Black,March,7.2,2,8,164
Black,August,20.5,3,6,176
Black,January,9.1,0,10,165
Black,January,20,2,6,180
Black,December,19.4,2,63,171
Brown,November,20,0,6,175
Black,July,20.3,1,4,183
